ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked turtles
0,1500,1490,10,0,0,75
1,1500,1490,10,0,0,75
2,1500,1490,10,0,0,75
3,1500,1480,10,10,0,75
4,1500,1471,19,10,0,75
5,1500,1462,28,10,0,75
6,1500,1450,35,15,0,75
7,1500,1415,59,26,0,75
8,1500,1391,77,32,0,75
9,1500,1361,98,41,0,75
10,1500,1306,133,61,0,75
11,1500,1228,175,97,0,75
12,1500,1145,234,121,0,75
13,1500,1074,266,160,0,75
14,1500,974,298,228,0,75
15,1500,879,315,306,0,75
16,1500,782,332,386,0,75
17,1500,695,345,454,6,75
18,1500,603,334,557,6,75
19,1500,509,343,642,6,75
20,1500,417,326,748,9,76
21,1499,351,316,817,15,76
22,1500,297,275,909,19,76
23,1500,221,259,994,26,76
24,1495,185,220,1054,36,77
25,1479,142,194,1088,55,77
26,1472,117,163,1126,66,79
27,1455,83,134,1153,85,79
28,1423,66,117,1124,116,79
29,1388,48,96,1087,157,79
30,1352,40,73,1044,195,80
31,1317,27,64,991,235,80
32,1269,27,44,912,286,80
33,1227,23,30,846,328,78
34,1186,30,25,743,388,74
35,1142,28,16,677,421,74
36,1104,28,19,585,472,72
37,1071,29,25,494,523,70
38,1040,33,25,417,565,69
39,1009,32,22,355,600,67
40,987,28,25,301,633,64
41,969,31,23,242,673,62
42,953,33,23,207,690,58
43,937,33,19,174,711,56
44,921,38,12,146,725,54
45,918,46,9,125,738,53
46,913,51,5,105,752,52
47,913,59,6,87,761,52
48,918,62,9,81,766,52
49,923,71,12,69,771,52
50,928,76,15,63,774,53
51,940,83,15,65,777,53
52,953,93,14,67,779,55
53,956,99,13,63,781,53
54,961,105,14,58,784,52
55,966,109,14,54,789,53
56,978,120,13,54,791,55
57,984,131,10,50,793,55
58,988,133,12,46,797,56
59,995,140,11,44,800,56
60,999,143,14,42,800,56
61,1007,148,14,43,802,57
62,1021,161,11,46,803,56
63,1026,158,14,50,804,56
64,1036,162,18,52,804,56
65,1045,164,24,50,807,55
66,1055,167,26,51,811,55
67,1064,174,25,51,814,56
68,1073,180,21,56,816,57
69,1085,183,24,60,818,57
70,1095,187,24,63,821,57
71,1106,192,24,65,825,57
72,1117,195,30,65,827,58
73,1126,193,33,72,828,58
74,1142,201,33,79,829,58
75,1148,204,35,79,830,58
76,1160,212,28,87,833,60
77,1168,214,30,90,834,60
78,1178,219,24,100,835,61
79,1193,233,22,101,837,62
80,1203,228,34,101,840,63
81,1214,226,40,106,842,64
82,1218,226,43,103,846,64
83,1228,222,46,108,852,64
84,1239,226,42,117,854,64
85,1243,219,45,122,857,64
86,1250,215,48,128,859,65
87,1261,222,44,132,863,65
88,1273,220,50,133,870,64
89,1281,218,46,146,871,64
90,1287,210,55,146,876,65
91,1291,206,55,150,880,65
92,1293,201,54,152,886,65
93,1304,195,57,165,887,69
94,1310,193,54,174,889,69
95,1313,187,55,178,893,69
96,1321,174,56,194,897,69
97,1333,177,58,194,904,72
98,1337,178,57,191,911,73
99,1348,180,53,197,918,74
100,1353,169,54,203,927,73
101,1353,160,56,203,934,74
102,1366,161,54,207,944,75
103,1370,158,53,208,951,76
104,1372,158,49,209,956,77
105,1382,161,47,210,964,78
106,1389,164,42,210,973,79
107,1398,162,40,210,986,80
108,1402,156,44,207,995,80
109,1408,153,50,201,1004,79
110,1414,153,57,189,1015,79
111,1418,140,58,198,1022,80
112,1426,142,55,199,1030,81
113,1434,145,59,194,1036,82
114,1434,140,58,192,1044,81
115,1439,141,49,198,1051,81
116,1436,128,51,202,1055,81
117,1441,130,50,196,1065,81
118,1443,130,51,193,1069,81
119,1446,125,55,192,1074,81
120,1454,126,47,201,1080,82
121,1469,137,53,192,1087,84
122,1483,144,49,194,1096,87
123,1493,136,56,200,1101,88
124,1500,130,53,210,1107,88
125,1500,126,54,200,1120,88
126,1500,119,55,196,1130,88
127,1500,113,44,205,1138,89
128,1496,110,39,205,1142,88
129,1499,117,31,197,1154,89
130,1499,111,35,190,1163,90
131,1500,109,34,189,1168,90
132,1500,107,33,186,1174,91
133,1499,102,37,179,1181,90
134,1499,103,29,171,1196,89
135,1500,100,26,172,1202,88
136,1500,99,27,167,1207,89
137,1499,98,30,160,1211,89
138,1500,99,29,149,1223,90
139,1498,101,27,143,1227,90
140,1500,105,24,143,1228,90
141,1491,112,18,132,1229,90
142,1498,120,20,123,1235,91
143,1500,129,25,114,1232,91
144,1500,136,27,110,1227,91
145,1499,153,30,105,1211,92
146,1499,159,32,104,1204,92
147,1500,175,27,109,1189,92
148,1497,199,28,104,1166,91
149,1500,234,33,101,1132,90
150,1499,267,35,101,1096,89
151,1500,299,43,100,1058,90
152,1499,333,54,103,1009,90
153,1500,344,80,106,970,90
154,1500,375,96,112,917,90
155,1499,386,109,118,886,91
156,1500,412,114,137,837,91
157,1500,414,128,170,788,91
158,1500,421,138,190,751,91
159,1500,411,154,217,718,91
160,1500,384,182,245,689,91
161,1500,372,198,275,655,92
162,1498,331,215,309,643,92
163,1500,300,218,357,625,93
164,1500,248,221,413,618,93
165,1500,222,210,461,607,93
166,1500,198,194,511,597,94
167,1500,166,172,570,592,94
168,1500,140,159,607,594,94
169,1500,120,142,638,600,94
170,1494,100,131,652,611,95
171,1485,80,115,665,625,95
172,1482,73,99,672,638,95
173,1471,66,80,674,651,95
174,1464,64,66,668,666,94
175,1452,63,53,654,682,94
176,1435,58,50,626,701,94
177,1417,59,44,587,727,94
178,1394,55,44,538,757,95
179,1366,56,42,496,772,94
180,1345,62,39,445,799,91
181,1320,63,38,389,830,91
182,1303,62,33,352,856,90
183,1274,57,36,312,869,89
184,1263,65,33,280,885,87
185,1252,72,27,243,910,87
186,1248,84,23,218,923,88
187,1244,92,20,193,939,88
188,1236,99,18,171,948,86
189,1235,108,23,148,956,83
190,1239,113,27,137,962,80
191,1240,118,29,127,966,80
192,1241,119,37,117,968,80
193,1251,129,37,115,970,79
194,1253,133,35,112,973,77
195,1256,129,35,116,976,76
196,1266,142,32,109,983,76
197,1271,146,33,109,983,78
198,1275,152,27,110,986,78
199,1279,154,23,112,990,78
200,1284,155,29,108,992,77
201,1294,164,30,106,994,76
202,1304,177,27,106,994,76
203,1309,181,28,110,990,77
204,1319,188,25,116,990,76
205,1331,201,24,117,989,77
206,1343,204,34,116,989,78
207,1344,204,35,116,989,78
208,1354,213,38,116,987,78
209,1357,208,43,111,995,78
210,1366,209,48,115,994,78
211,1374,213,53,116,992,78
212,1389,227,49,121,992,79
213,1393,224,49,122,998,80
214,1408,220,56,134,998,81
215,1421,223,63,138,997,83
216,1427,218,68,145,996,83
217,1432,216,72,153,991,83
218,1438,219,64,164,991,83
219,1449,216,73,172,988,83
220,1456,220,64,190,982,83
221,1472,234,60,198,980,85
222,1478,237,64,206,971,85
223,1479,218,75,218,968,85
224,1486,215,83,219,969,85
225,1498,216,91,227,964,86
226,1500,212,90,235,963,86
227,1494,190,93,254,957,86
228,1499,190,95,256,958,88
229,1500,181,98,267,954,88
230,1500,168,98,281,953,88
231,1500,150,97,301,952,88
232,1498,138,110,300,950,89
233,1498,125,117,306,950,88
234,1495,124,99,320,952,87
235,1497,124,87,330,956,87
236,1496,116,64,355,961,87
237,1499,112,67,353,967,88
238,1499,99,75,354,971,88
239,1500,99,77,353,971,89
240,1498,92,76,352,978,89
241,1489,92,65,345,987,90
242,1493,98,61,345,989,89
243,1488,95,59,340,994,89
244,1484,96,56,332,1000,91
245,1478,98,61,312,1007,91
246,1473,99,59,307,1008,91
247,1476,102,65,299,1010,90
248,1473,99,68,281,1025,90
249,1478,104,65,276,1033,90
250,1469,111,61,251,1046,89
251,1471,111,63,246,1051,89
252,1482,116,59,254,1053,89
253,1487,122,57,256,1052,90
254,1488,129,64,247,1048,92
255,1491,132,62,238,1059,91
256,1492,122,69,238,1063,91
257,1489,131,64,236,1058,91
258,1497,141,65,237,1054,88
259,1497,138,67,237,1055,89
260,1500,132,63,242,1063,90
261,1499,124,63,247,1065,90
262,1497,122,66,243,1066,89
263,1499,121,64,240,1074,90
264,1500,116,67,241,1076,90
265,1500,114,62,242,1082,90
266,1496,116,53,236,1091,90
267,1496,114,44,242,1096,91
268,1498,117,41,246,1094,91
269,1496,120,42,239,1095,90
270,1498,114,53,227,1104,90
271,1500,104,58,226,1112,89
272,1497,99,58,219,1121,89
273,1499,104,54,215,1126,89
274,1492,103,45,215,1129,90
275,1486,97,36,217,1136,89
276,1487,97,37,212,1141,89
277,1490,101,39,202,1148,89
278,1493,104,42,195,1152,90
279,1499,111,36,191,1161,90
280,1497,116,35,184,1162,91
281,1497,119,33,174,1171,90
282,1500,124,33,168,1175,91
283,1499,123,35,166,1175,91
284,1498,123,39,166,1170,91
285,1500,125,35,164,1176,92
286,1500,125,37,157,1181,92
287,1500,124,36,157,1183,92
288,1500,132,32,151,1185,92
289,1494,141,35,135,1183,91
290,1500,156,35,136,1173,92
291,1500,161,41,136,1162,92
292,1500,174,37,138,1151,92
293,1500,181,40,134,1145,92
294,1499,192,37,138,1132,92
295,1500,203,39,136,1122,93
296,1500,209,49,136,1106,93
297,1500,228,52,138,1082,93
298,1500,240,64,142,1054,93
299,1497,234,76,144,1043,92
300,1499,247,78,156,1018,92
301,1500,268,80,161,991,93
302,1499,274,78,174,973,92
303,1500,260,89,192,959,92
304,1500,252,94,205,949,92
