ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,288,75
1,1500,1490,10,0,0,288,75
2,1500,1490,10,0,0,288,75
3,1500,1479,11,10,0,288,75
4,1500,1469,21,10,0,288,75
5,1500,1456,34,10,0,288,75
6,1500,1442,44,14,0,288,75
7,1500,1416,60,24,0,288,75
8,1500,1382,84,34,0,288,75
9,1500,1340,112,48,0,288,75
10,1500,1281,149,70,0,288,75
11,1500,1225,176,99,0,288,75
12,1500,1164,197,139,0,288,75
13,1500,1078,232,190,0,288,75
14,1500,980,275,245,0,288,75
15,1500,886,303,311,0,288,75
16,1500,795,329,376,0,288,75
17,1500,697,353,446,4,287,75
18,1500,598,350,548,4,287,75
19,1500,513,333,650,4,287,75
20,1500,441,327,726,6,286,75
21,1498,358,311,818,11,287,75
22,1497,289,292,900,16,286,74
23,1492,232,274,965,21,285,73
24,1486,193,236,1024,33,285,73
25,1477,141,209,1078,49,283,73
26,1469,105,187,1104,73,282,74
27,1446,73,161,1113,99,278,73
28,1416,47,144,1105,120,265,73
29,1382,35,106,1093,148,261,73
30,1350,25,75,1071,179,252,71
31,1311,20,57,1021,213,240,69
32,1267,16,38,943,270,225,68
33,1221,11,35,853,322,220,64
34,1183,10,25,786,362,217,62
35,1128,5,22,694,407,210,58
36,1092,6,20,606,460,201,59
37,1063,8,14,536,505,198,56
38,1028,13,12,459,544,192,56
39,982,12,11,382,577,184,54
40,952,13,12,317,610,182,52
41,927,15,13,260,639,174,48
42,910,17,13,216,664,167,47
43,892,24,11,166,691,166,45
44,876,30,10,125,711,166,42
45,868,30,8,101,729,166,42
46,866,36,10,78,742,166,41
47,867,39,10,68,750,165,40
48,871,47,9,57,758,166,39
49,873,49,9,52,763,168,39
50,882,56,8,50,768,172,40
51,883,59,9,42,773,172,41
52,885,64,7,41,773,175,41
53,886,68,5,38,775,177,41
54,894,74,4,40,776,178,42
55,910,90,5,37,778,183,41
56,915,95,5,36,779,185,41
57,930,108,9,32,781,186,42
58,939,117,7,32,783,187,42
59,944,122,6,28,788,189,42
60,953,131,3,30,789,190,42
61,957,135,2,30,790,191,43
62,963,140,3,29,791,193,44
63,969,147,4,25,793,193,44
64,980,158,5,22,795,195,44
65,993,166,8,23,796,200,44
66,999,170,10,22,797,199,44
67,1001,173,12,19,797,202,44
68,1007,180,10,19,798,204,44
69,1019,190,9,22,798,207,44
70,1030,196,9,25,800,209,44
71,1039,201,11,27,800,212,44
72,1050,210,14,26,800,215,45
73,1061,219,14,28,800,218,46
74,1066,223,11,30,802,219,46
75,1071,226,10,31,804,221,46
76,1081,232,11,33,805,222,46
77,1087,235,11,36,805,224,46
78,1097,239,14,39,805,225,47
79,1106,245,18,38,805,227,48
80,1119,255,17,41,806,229,48
81,1127,260,16,45,806,230,48
82,1140,269,14,48,809,232,48
83,1149,275,13,50,811,233,48
84,1156,275,19,47,815,235,48
85,1167,285,15,50,817,237,49
86,1174,286,19,52,817,237,49
87,1193,299,23,53,818,239,49
88,1203,302,25,54,822,240,50
89,1212,310,25,54,823,243,50
90,1219,314,19,61,825,245,50
91,1228,315,19,67,827,245,50
92,1235,319,21,67,828,246,50
93,1242,316,27,70,829,248,50
94,1246,311,32,72,831,248,51
95,1255,312,33,77,833,248,52
96,1262,308,42,76,836,248,52
97,1269,305,41,84,839,248,52
98,1277,303,45,89,840,250,52
99,1295,308,46,96,845,252,53
100,1305,309,44,106,846,251,53
101,1319,316,43,113,847,251,54
102,1330,315,44,119,852,255,55
103,1339,316,39,130,854,256,57
104,1347,313,47,127,860,260,57
105,1354,309,48,133,864,261,58
106,1357,294,56,142,865,262,58
107,1368,288,64,150,866,263,60
108,1374,288,63,156,867,264,60
109,1389,288,63,165,873,266,60
110,1398,277,64,180,877,269,60
111,1400,262,67,186,885,272,60
112,1407,261,67,192,887,272,61
113,1412,255,60,201,896,273,61
114,1424,254,54,210,906,277,64
115,1441,243,69,213,916,279,64
116,1441,236,67,216,922,278,64
117,1439,228,70,216,925,278,64
118,1450,228,66,227,929,280,65
119,1446,220,56,238,932,280,65
120,1457,215,59,243,940,281,65
121,1462,198,70,247,947,281,64
122,1464,180,82,248,954,281,65
123,1463,174,80,247,962,280,64
124,1472,174,79,249,970,283,65
125,1478,168,73,258,979,283,67
126,1482,157,76,265,984,280,67
127,1491,159,76,261,995,277,66
128,1494,142,82,261,1009,279,67
129,1495,137,77,264,1017,278,67
130,1495,120,77,271,1027,281,67
131,1494,112,66,283,1033,283,68
132,1496,107,58,290,1041,282,68
133,1500,102,62,277,1059,285,68
134,1499,94,56,282,1067,288,68
135,1496,90,53,280,1073,288,69
136,1499,85,52,282,1080,288,69
137,1499,80,53,280,1086,290,69
138,1500,81,50,272,1097,291,69
139,1486,74,51,255,1106,291,68
140,1494,82,41,253,1118,292,70
141,1492,80,43,250,1119,292,68
142,1498,89,43,240,1126,291,69
143,1496,92,41,233,1130,289,71
144,1492,98,50,219,1125,292,71
145,1490,108,53,207,1122,294,71
146,1495,135,52,197,1111,296,71
147,1499,152,61,194,1092,298,70
148,1500,161,72,187,1080,298,70
149,1500,176,76,192,1056,297,70
150,1500,186,93,187,1034,297,71
151,1496,204,90,198,1004,297,71
152,1500,233,107,207,953,296,74
153,1500,262,106,222,910,296,75
154,1499,263,121,233,882,295,75
155,1498,264,144,245,845,293,75
156,1500,272,161,268,799,293,76
157,1500,273,170,296,761,292,77
158,1500,258,185,332,725,291,77
159,1500,235,202,360,703,291,77
160,1500,216,207,397,680,290,77
161,1499,196,203,441,659,289,77
162,1499,183,186,488,642,291,77
163,1495,169,177,524,625,291,77
164,1498,150,168,568,612,290,78
165,1495,127,172,589,607,289,77
166,1490,96,182,607,605,288,76
167,1490,79,169,630,612,288,75
168,1483,58,152,652,621,286,75
169,1479,50,122,678,629,284,75
170,1466,42,103,687,634,284,75
171,1456,38,82,687,649,281,75
172,1434,29,70,667,668,276,74
173,1421,31,55,649,686,271,74
174,1401,26,43,621,711,271,74
175,1389,32,34,580,743,264,76
176,1366,29,32,530,775,259,74
177,1354,38,28,485,803,262,74
178,1333,33,33,440,827,262,73
179,1322,39,40,399,844,260,71
180,1320,47,47,364,862,259,71
181,1310,53,43,328,886,254,70
182,1296,55,45,287,909,249,70
183,1283,58,41,249,935,248,66
184,1269,63,34,219,953,245,65
185,1256,61,37,187,971,241,65
186,1259,64,34,174,987,243,66
187,1258,68,31,161,998,247,66
188,1253,77,28,143,1005,246,63
189,1253,77,24,142,1010,247,62
190,1261,84,25,139,1013,249,62
191,1267,90,24,135,1018,252,62
192,1272,95,25,131,1021,251,63
193,1275,96,22,132,1025,251,63
194,1286,99,28,132,1027,251,61
195,1288,103,29,125,1031,251,61
196,1292,103,32,122,1035,251,62
197,1290,104,31,117,1038,251,62
198,1303,114,30,113,1046,255,62
199,1310,114,31,114,1051,257,61
200,1315,119,30,110,1056,258,61
201,1318,122,27,108,1061,259,60
202,1328,125,27,114,1062,261,62
203,1333,131,25,109,1068,262,63
204,1346,147,25,104,1070,266,63
205,1354,153,25,106,1070,270,63
206,1368,161,22,110,1075,275,63
207,1378,163,28,107,1080,276,63
208,1395,175,37,106,1077,283,63
209,1402,173,41,107,1081,285,63
210,1414,180,43,108,1083,287,63
211,1417,178,40,114,1085,288,63
212,1427,184,43,111,1089,288,64
213,1435,186,38,119,1092,289,64
214,1440,177,47,122,1094,289,64
215,1453,178,55,123,1097,287,67
216,1461,176,62,122,1101,288,67
217,1469,179,60,129,1101,289,67
218,1483,181,56,146,1100,290,68
219,1491,188,51,154,1098,290,68
220,1500,190,48,162,1100,291,68
221,1500,175,51,172,1102,291,68
222,1499,166,57,176,1100,291,68
223,1498,158,54,186,1100,292,68
224,1500,145,67,190,1098,293,69
225,1500,145,58,195,1102,293,68
226,1500,128,69,198,1105,293,68
227,1500,121,60,205,1114,292,67
228,1500,113,57,213,1117,292,67
229,1497,110,57,215,1115,291,67
230,1500,112,44,226,1118,290,67
231,1500,110,48,224,1118,287,68
232,1497,109,44,219,1125,287,68
233,1495,112,45,215,1123,287,68
234,1499,115,56,206,1122,287,69
235,1499,122,52,207,1118,287,69
236,1500,113,62,208,1117,287,69
237,1500,102,65,210,1123,285,69
238,1500,103,60,212,1125,285,69
239,1500,99,59,208,1134,285,70
240,1500,98,53,218,1131,287,70
241,1496,103,48,214,1131,285,70
242,1499,111,50,205,1133,285,70
243,1500,118,45,206,1131,286,70
244,1496,123,39,201,1133,283,70
245,1499,119,48,201,1131,283,69
246,1500,116,53,196,1135,282,69
247,1498,116,62,192,1128,284,69
248,1500,118,61,202,1119,284,69
249,1499,120,57,203,1119,284,69
250,1500,123,55,207,1115,283,70
251,1500,116,60,204,1120,282,73
252,1500,117,55,206,1122,283,73
253,1498,127,54,207,1110,283,72
254,1499,129,50,204,1116,285,72
255,1498,117,60,200,1121,287,73
256,1500,119,59,202,1120,287,72
257,1500,117,61,205,1117,287,72
258,1499,118,58,207,1116,285,72
259,1500,123,52,214,1111,287,72
260,1499,121,60,215,1103,287,72
261,1500,108,69,220,1103,288,73
262,1495,111,65,222,1097,289,75
263,1493,115,71,214,1093,289,74
264,1498,119,63,225,1091,289,73
265,1500,124,59,230,1087,292,73
266,1496,125,58,229,1084,292,73
267,1499,117,67,228,1087,295,73
268,1497,116,64,229,1088,295,73
269,1500,113,65,230,1092,297,72
270,1498,110,66,233,1089,298,71
271,1500,99,64,243,1094,296,71
272,1499,106,61,237,1095,297,71
273,1500,110,60,234,1096,296,70
274,1500,114,53,244,1089,298,70
275,1496,100,62,248,1086,295,70
276,1497,94,76,238,1089,293,71
277,1500,95,72,246,1087,295,70
278,1498,98,69,238,1093,298,70
279,1499,104,61,241,1093,299,69
280,1499,104,52,251,1092,298,69
281,1499,103,59,245,1092,298,68
282,1500,101,59,245,1095,297,70
283,1500,102,62,243,1093,297,71
284,1500,96,67,243,1094,298,71
285,1495,99,66,238,1092,294,71
286,1498,100,70,239,1089,294,71
287,1496,111,64,242,1079,291,71
288,1497,115,64,241,1077,291,71
289,1497,123,59,245,1070,292,71
290,1498,121,64,248,1065,294,71
291,1498,126,69,251,1052,293,71
292,1499,141,74,244,1040,290,71
293,1495,147,76,246,1026,289,71
294,1496,164,82,239,1011,289,71
295,1496,174,92,249,981,287,72
296,1495,186,109,245,955,285,71
297,1499,198,107,262,932,284,70
298,1500,191,121,276,912,286,70
299,1500,198,117,285,900,284,69
300,1500,199,114,300,887,286,68
301,1499,188,120,319,872,288,68
302,1498,189,117,335,857,289,66
303,1500,191,131,339,839,293,66
304,1496,172,144,354,826,294,65
305,1488,147,152,375,814,293,62
306,1487,126,160,400,801,291,62
307,1484,123,148,413,800,288,62
308,1484,117,119,446,802,290,60
309,1482,104,107,467,804,292,60
310,1481,93,88,494,806,292,60
311,1474,81,88,487,818,293,60
312,1461,62,95,478,826,291,60
313,1466,57,83,481,845,290,60
314,1465,55,81,474,855,290,57
315,1458,57,70,464,867,291,57
316,1452,58,64,449,881,290,57
317,1447,52,62,443,890,290,57
318,1439,60,54,433,892,287,57
319,1430,55,59,407,909,283,57
320,1424,57,58,387,922,285,57
321,1414,65,51,364,934,286,55
322,1401,65,50,329,957,284,54
323,1389,70,46,304,969,279,55
324,1377,75,45,275,982,274,55
325,1380,76,45,262,997,276,54
326,1382,81,42,259,1000,276,55
327,1371,89,39,234,1009,272,54
328,1379,91,38,225,1025,272,54
329,1369,84,41,211,1033,268,54
330,1378,91,44,199,1044,272,56
331,1382,90,55,187,1050,273,55
332,1386,92,56,181,1057,272,55
333,1387,91,57,180,1059,274,56
334,1390,98,49,181,1062,275,56
335,1392,99,45,183,1065,274,55
336,1397,102,50,178,1067,276,56
337,1391,105,40,178,1068,273,56
338,1398,107,44,173,1074,274,56
339,1408,114,40,178,1076,270,57
340,1406,105,47,173,1081,271,56
341,1418,119,44,174,1081,275,56
342,1421,124,41,171,1085,275,57
343,1419,122,37,172,1088,274,56
344,1431,129,36,178,1088,281,57
