ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,992,75
1,1500,1490,10,0,0,992,75
2,1500,1490,10,0,0,992,75
3,1500,1485,5,10,0,992,75
4,1500,1481,9,10,0,992,75
5,1500,1477,13,10,0,992,75
6,1500,1468,18,14,0,992,75
7,1500,1456,26,18,0,992,75
8,1500,1442,36,22,0,992,75
9,1500,1431,45,24,0,992,75
10,1500,1415,50,35,0,992,75
11,1500,1382,69,49,0,992,75
12,1500,1358,76,66,0,992,75
13,1500,1322,105,73,0,992,75
14,1500,1268,129,103,0,992,75
15,1500,1228,145,127,0,992,75
16,1500,1176,164,160,0,992,75
17,1497,1115,186,192,4,990,74
18,1500,1053,202,241,4,993,74
19,1500,993,219,284,4,993,74
20,1500,927,232,334,7,993,74
21,1500,843,252,395,10,993,74
22,1500,771,260,456,13,994,74
23,1500,708,262,515,15,994,74
24,1500,643,259,579,19,995,74
25,1498,574,249,648,27,994,74
26,1497,510,256,694,37,997,74
27,1500,462,243,755,40,1001,74
28,1493,410,224,804,55,1003,73
29,1489,369,197,855,68,1001,72
30,1475,317,199,876,83,993,72
31,1462,280,177,900,105,993,72
32,1450,255,159,901,135,986,73
33,1432,226,149,901,156,977,73
34,1418,202,124,905,187,969,73
35,1392,176,111,882,223,954,73
36,1370,158,105,846,261,938,73
37,1346,140,92,821,293,924,73
38,1310,123,78,780,329,904,73
39,1276,113,74,719,370,888,71
40,1255,98,68,681,408,874,71
41,1225,94,62,633,436,850,71
42,1190,88,56,573,473,819,66
43,1160,85,47,519,509,797,65
44,1147,87,40,479,541,790,64
45,1122,85,40,426,571,765,63
46,1101,87,30,390,594,752,61
47,1090,95,24,357,614,746,61
48,1071,92,23,308,648,732,59
49,1056,94,18,275,669,718,57
50,1045,93,20,252,680,706,57
51,1040,96,23,219,702,701,56
52,1028,96,22,191,719,694,55
53,1026,100,20,175,731,692,54
54,1020,104,15,159,742,687,53
55,1022,112,15,144,751,691,53
56,1019,115,14,129,761,688,52
57,1009,116,11,113,769,682,50
58,1012,117,13,103,779,686,49
59,1013,124,12,93,784,689,48
60,1011,131,10,83,787,690,46
61,1014,134,12,75,793,691,47
62,1026,148,8,72,798,696,47
63,1028,152,13,64,799,701,46
64,1030,155,13,61,801,703,45
65,1038,160,17,60,801,707,45
66,1043,167,17,56,803,709,45
67,1048,170,12,58,808,713,45
68,1052,172,12,53,815,716,44
69,1058,180,8,53,817,719,44
70,1066,186,9,51,820,724,44
71,1071,192,10,47,822,727,44
72,1078,198,9,47,824,732,45
73,1087,204,11,45,827,739,45
74,1091,208,12,44,827,741,45
75,1102,219,12,45,826,749,44
76,1106,224,14,41,827,751,44
77,1112,228,13,44,827,756,44
78,1124,240,10,45,829,763,44
79,1131,246,10,46,829,768,44
80,1140,254,9,47,830,770,45
81,1152,264,10,43,835,778,45
82,1161,273,11,42,835,784,45
83,1168,280,10,39,839,789,45
84,1179,287,15,38,839,797,45
85,1193,299,12,42,840,807,45
86,1201,307,11,41,842,815,45
87,1214,315,15,42,842,824,45
88,1226,323,15,45,843,833,46
89,1238,334,15,44,845,843,47
90,1258,352,17,44,845,858,48
91,1265,359,13,46,847,865,48
92,1277,367,15,47,848,876,48
93,1292,379,15,48,850,885,48
94,1302,389,15,48,850,895,48
95,1315,397,19,48,851,905,49
96,1330,407,19,51,853,916,49
97,1340,409,25,52,854,921,49
98,1350,409,31,55,855,931,49
99,1356,412,27,59,858,934,49
100,1365,414,26,65,860,939,49
101,1381,428,26,68,859,951,49
102,1388,432,20,74,862,956,49
103,1400,443,20,74,863,964,49
104,1413,443,24,81,865,970,49
105,1424,451,23,82,868,978,49
106,1436,452,34,79,871,985,49
107,1446,456,33,84,873,992,51
108,1459,458,35,91,875,997,51
109,1468,458,39,93,878,1002,52
110,1476,462,35,99,880,1005,52
111,1486,460,40,105,881,1013,52
112,1494,451,48,113,882,1019,52
113,1499,450,52,112,885,1021,52
114,1500,445,52,114,889,1024,52
115,1500,443,41,125,891,1026,52
116,1500,439,32,133,896,1028,52
117,1500,431,32,141,896,1029,52
118,1497,413,43,141,900,1029,51
119,1499,409,47,141,902,1030,51
120,1500,398,49,149,904,1031,51
121,1500,391,48,154,907,1033,51
122,1500,382,46,161,911,1035,51
123,1500,363,55,165,917,1035,51
124,1500,354,54,169,923,1034,51
125,1500,347,53,172,928,1033,51
126,1499,344,49,176,930,1034,51
127,1500,341,43,183,933,1036,51
128,1499,336,38,187,938,1036,51
129,1500,332,37,185,946,1036,51
130,1500,328,37,175,960,1035,51
131,1498,318,42,173,965,1034,52
132,1500,310,47,174,969,1035,53
133,1499,302,43,180,974,1034,53
134,1499,300,40,183,976,1034,53
135,1500,298,35,181,986,1038,53
136,1500,287,43,177,993,1041,53
137,1500,289,42,175,994,1040,53
138,1500,289,41,169,1001,1042,52
139,1499,276,41,171,1011,1042,52
140,1498,268,46,169,1015,1038,52
141,1499,265,51,163,1020,1039,52
142,1498,269,49,157,1023,1039,52
143,1500,266,46,159,1029,1040,52
144,1499,260,41,167,1031,1040,52
145,1500,261,45,170,1024,1039,52
146,1500,267,45,169,1019,1038,52
147,1499,261,47,168,1023,1036,52
148,1499,267,47,168,1017,1038,52
149,1500,275,47,169,1009,1038,52
150,1499,280,49,170,1000,1037,51
151,1500,292,53,172,983,1038,51
152,1497,303,59,177,958,1037,51
153,1500,322,55,178,945,1039,51
154,1497,349,54,180,914,1035,50
155,1500,373,54,190,883,1039,50
156,1500,393,62,196,849,1039,50
157,1500,406,77,192,825,1037,50
158,1497,429,85,188,795,1033,49
159,1500,452,86,201,761,1036,49
160,1500,471,84,219,726,1035,49
161,1500,478,92,224,706,1033,49
162,1500,479,104,237,680,1033,49
163,1500,486,112,249,653,1033,50
164,1499,489,119,262,629,1032,50
165,1500,479,135,281,605,1034,50
166,1500,471,136,302,591,1034,50
167,1499,458,142,319,580,1035,50
168,1497,459,144,342,552,1038,50
169,1499,452,143,366,538,1040,50
170,1498,430,146,388,534,1040,50
171,1500,425,137,422,516,1042,51
172,1499,411,135,446,507,1043,51
173,1493,398,134,456,505,1039,51
174,1495,375,141,470,509,1043,51
175,1495,365,131,492,507,1045,51
176,1495,343,144,499,509,1051,51
177,1491,327,138,510,516,1051,51
178,1488,317,123,529,519,1052,51
179,1488,290,130,539,529,1054,51
180,1478,265,132,539,542,1050,51
181,1466,256,129,532,549,1044,51
182,1458,234,126,530,568,1043,50
183,1445,218,107,533,587,1037,50
184,1425,209,86,532,598,1021,50
185,1414,204,80,508,622,1015,49
186,1403,190,68,505,640,1011,49
187,1392,184,66,491,651,1004,49
188,1373,171,76,466,660,991,48
189,1363,166,71,449,677,987,48
190,1360,158,75,432,695,980,48
191,1353,156,66,419,712,974,48
192,1341,147,63,394,737,965,48
193,1327,145,57,373,752,953,49
194,1317,145,49,355,768,945,48
195,1312,144,36,352,780,943,47
196,1301,144,37,326,794,933,46
197,1285,140,39,290,816,919,45
198,1278,145,40,264,829,909,44
199,1275,143,40,253,839,908,44
200,1266,142,41,228,855,897,44
201,1268,155,34,220,859,898,44
202,1279,168,25,217,869,903,44
203,1280,173,23,206,878,903,44
204,1283,172,24,198,889,905,43
205,1283,178,29,178,898,901,43
206,1289,188,27,165,909,902,43
207,1301,196,26,156,923,912,43
208,1305,196,33,145,931,913,43
209,1308,210,29,131,938,914,43
210,1322,219,31,126,946,922,43
211,1329,228,31,122,948,925,44
212,1338,236,25,125,952,929,44
213,1341,233,30,122,956,931,43
214,1353,243,31,118,961,936,43
215,1354,247,31,111,965,937,43
216,1367,259,27,109,972,947,42
217,1371,255,29,110,977,953,41
218,1377,260,29,108,980,954,41
219,1388,267,30,112,979,964,42
220,1390,273,27,110,980,966,41
221,1398,280,23,112,983,974,41
222,1404,275,31,114,984,981,41
223,1411,280,32,113,986,986,41
224,1414,280,39,110,985,988,41
225,1421,287,34,117,983,991,41
226,1434,300,33,115,986,1000,41
227,1438,304,30,117,987,1007,42
228,1447,308,34,118,987,1015,42
229,1459,318,31,123,987,1028,41
230,1459,310,39,120,990,1027,42
231,1465,313,41,117,994,1031,42
232,1478,320,41,121,996,1038,42
233,1491,325,42,126,998,1048,42
234,1500,325,45,132,998,1055,42
235,1500,325,42,132,1001,1057,42
236,1500,321,45,133,1001,1059,42
237,1499,320,39,138,1002,1063,42
238,1500,312,37,151,1000,1064,42
239,1496,309,39,145,1003,1060,43
240,1499,307,41,145,1006,1060,43
241,1500,302,41,147,1010,1061,43
242,1500,292,44,151,1013,1061,43
243,1500,294,47,151,1008,1061,43
244,1500,292,44,157,1007,1061,43
245,1500,287,47,160,1006,1061,43
246,1500,281,47,164,1008,1061,43
247,1500,278,48,163,1011,1060,44
248,1500,276,43,166,1015,1059,44
249,1500,275,44,167,1014,1061,44
250,1500,275,46,173,1006,1061,44
251,1499,271,47,172,1009,1063,44
252,1499,268,54,164,1013,1064,44
253,1500,268,47,174,1011,1065,44
254,1499,261,45,177,1016,1063,44
255,1500,259,44,182,1015,1064,44
256,1499,258,50,181,1010,1059,44
257,1500,260,47,182,1011,1060,44
